borrower_age,income_bracket,marital_status,job_type,education_level,ethnicity,gender,country,loan_amount,credit_score,repayment_history,debt_to_income_ratio,borrower_risk
56,???,Single,Self-employed,Bachelor,Black,Male,USA,477322.3674,300.6974423,63.59395767,0.284215366,Low
69,High,Widowed,Unemployed,Bachelor,Other,Male,USA,459342.2798,791.7039589,87.49876881,93.08981444,Low
46,High,Married,Full-time,PhD,Black,Female,Canada,24449.258,586.9414908,8.273830349,11.09202309,Medium
32,Low,Married,???,Master,Asian,Female,Australia,170067.6978,444.4683544,91.50833334,40.6249096,Medium
60,High,Divorced,Full-time,High School,Asian,Female,USA,203169.1283,722.0035476,29.33486267,77.10383702,Low
25,Low,Married,Unemployed,PhD,Black,Female,USA,???,809.6660546,49.06943459,43.5230718,High
38,Medium,Married,Unemployed,PhD,White,Male,Australia,314807.5756,566.0299527,43.86114359,94.68425517,High
56,High,Divorced,Full-time,High School,White,Female,Canada,320549.9926,473.5544109,76.03116511,46.75889485,Medium
36,Low,Married,Self-employed,High School,White,Female,USA,425401.6099,733.9198182,???,87.49394056,Medium
40,Low,Married,Full-time,???,Asian,Female,Australia,370693.7649,674.9820238,94.35531456,81.08281134,Low
28,High,Married,Unemployed,Master,Hispanic,Male,USA,271744.0902,788.8138661,90.25338826,98.09863028,Medium
28,Medium,Married,Full-time,Master,Asian,Male,UK,327139.7983,680.882707,87.2161152,92.65477808,Medium
41,Medium,Divorced,Unemployed,High School,Hispanic,Female,India,137720.402,433.9405864,7.125833265,89.81238347,Low
53,Medium,Married,Full-time,Associate,Black,Female,UK,296935.0388,812.4125874,85.42580616,73.16043405,Low
57,Low,Married,Self-employed,PhD,Other,Female,USA,245124.4001,357.659661,78.16354454,36.69981473,Medium
41,Low,Divorced,Self-employed,PhD,Hispanic,Female,Canada,67538.88919,447.3685126,10.3512947,10.61254186,High
20,Low,Widowed,Full-time,High School,White,Male,India,122029.594,586.1070342,10.74143254,68.86450523,Medium
39,Low,Single,Full-time,Associate,Asian,Female,UK,146555.0319,611.1581143,10.11638115,97.86540813,High
19,Medium,Widowed,Self-employed,Bachelor,Black,Female,Australia,462230.474,308.4208226,1.13325932,72.66044373,High
41,High,Divorced,Unemployed,High School,White,Female,Canada,115962.9331,729.3149992,54.86343052,92.87293693,High
61,Low,Single,Self-employed,High School,Black,Male,UK,145332.7075,498.8840251,97.33942914,80.4304713,Low
47,Low,Divorced,Unemployed,PhD,Other,Male,Australia,185307.7109,523.5301976,43.86847029,16.31146751,Low
55,Medium,Divorced,Full-time,High School,Asian,Female,USA,332207.6266,745.1532494,54.07575019,24.92037706,Low
19,High,Married,Full-time,High School,Asian,Female,Australia,60000.95784,508.6058655,96.79697968,34.18656018,Medium
